ausente2_ausente,ausente2_matthei,ausente2_parisi,ausente2_kaiser,ausente2_kast,ausente2_jara,ausente2_otros,ausente2_nulosblancos,nulosblancos2_ausente,nulosblancos2_matthei,nulosblancos2_parisi,nulosblancos2_kaiser,nulosblancos2_kast,nulosblancos2_jara,nulosblancos2_otros,nulosblancos2_nulosblancos,kast2_ausente,kast2_matthei,kast2_parisi,kast2_kaiser,kast2_kast,kast2_jara,kast2_otros,kast2_nulosblancos,jara2_ausente,jara2_matthei,jara2_parisi,jara2_kaiser,jara2_kast,jara2_jara,jara2_otros,jara2_nulosblancos,comuna,n_original,n_consolidado
1330,73,19,341,66,143,2,5,32,93,253,140,126,126,2,290,506,2028,825,2283,2913,91,125,284,259,313,720,130,329,3621,311,7,ALGARROBO,46,46
360,2,301,80,10,6,45,105,66,2,183,62,18,30,4,115,326,182,881,248,1263,11,1,3,9,2,498,3,12,700,79,72,ALTO BIOBIO,17,17
451,1,106,115,8,7,0,10,10,1,229,4,9,12,37,170,11,146,968,278,589,9,0,3,182,65,262,4,6,731,40,1,ALTO DEL CARMEN,13,13
9976,21,641,426,92,63,14,433,127,279,3356,1547,95,79,15,833,827,1623,14071,5150,11447,107,1427,205,331,841,6987,247,110,9736,15,688,ALTO HOSPICIO,187,100
5226,19,127,49,85,82,297,12,95,25,1334,46,100,72,185,773,183,2057,3590,4410,8256,162,11,766,420,584,2106,71,197,6876,460,15,ANCUD,100,100
980,7,48,126,136,48,1,4,17,8,499,225,19,63,2,58,238,649,735,692,716,431,86,494,139,167,1201,16,565,2734,165,10,ANDACOLLO,29,29
1659,2321,197,1325,657,65,3,6,216,19,1272,555,190,46,8,178,3410,511,6466,3954,13187,89,491,1109,1264,113,1490,250,218,5899,292,6,ANGOL,123,100
48438,202,1127,328,422,688,65,1487,443,2373,17449,210,341,350,64,4661,650,14370,35242,30887,42784,550,77,115,712,3688,25740,326,422,58851,7974,4875,ANTOFAGASTA,776,100
567,4,12,224,13,8,3,1,41,2,85,74,54,13,19,3,210,239,468,251,984,16,45,157,14,24,402,7,19,707,0,1,ANTUCO,12,12
2566,169,66,26,47,35,3,38,36,463,1051,31,90,59,56,424,205,683,4978,3164,8380,119,346,623,55,847,1976,43,145,5295,241,10,ARAUCO,86,86
4958,242,68,42,48,123,58,72,78,15,774,33,39,164,58,222,133,703,1415,2838,3497,105,226,201,374,366,1349,42,48,4152,172,280,AYSEN,62,62
4928,182,489,180,1047,559,51,63,380,816,1783,158,550,333,193,972,1350,4547,7910,8442,22253,330,740,593,981,1965,5173,509,511,17966,1402,968,BUIN,227,100
1610,54,84,15,29,50,3,6,31,51,429,62,40,57,101,474,58,345,2689,1461,2963,95,4,191,153,685,1166,244,75,4554,286,22,CABILDO,47,47
2048,19,106,32,67,122,5,112,32,10,1175,25,56,32,6,548,69,1254,4877,3304,6947,65,476,87,167,419,1628,33,70,3326,6,132,CABRERO,71,71
24303,194,1075,111,228,237,532,26,403,694,8877,124,156,174,677,475,342,2951,21527,14285,19425,172,880,1507,410,2503,9172,482,300,18904,567,2036,CALAMA,339,100
5163,76,103,32,96,53,229,9,105,445,815,37,88,54,88,435,195,1093,4212,3500,8068,106,7,908,188,613,1413,49,164,4605,373,11,CALBUCO,88,88
