ausente2_ausente,ausente2_matthei,ausente2_parisi,ausente2_kaiser,ausente2_kast,ausente2_jara,ausente2_otros,ausente2_nulosblancos,nulosblancos2_ausente,nulosblancos2_matthei,nulosblancos2_parisi,nulosblancos2_kaiser,nulosblancos2_kast,nulosblancos2_jara,nulosblancos2_otros,nulosblancos2_nulosblancos,kast2_ausente,kast2_matthei,kast2_parisi,kast2_kaiser,kast2_kast,kast2_jara,kast2_otros,kast2_nulosblancos,jara2_ausente,jara2_matthei,jara2_parisi,jara2_kaiser,jara2_kast,jara2_jara,jara2_otros,jara2_nulosblancos,comuna,n_original,n_consolidado
1758,70,181,21,319,56,4,4,20,7,715,121,20,140,4,181,555,728,1113,1804,1838,184,4,176,24,177,1984,18,23,3777,335,165,CALDERA,42,42
1578,37,133,127,108,61,57,10,132,32,408,76,107,67,10,354,58,2168,1450,2714,5477,191,193,8,269,669,1052,39,62,4208,297,261,CALERA DE TANGO,57,57
4682,37,333,90,284,209,198,31,168,31,1265,236,956,114,71,630,341,2637,6238,3259,4790,229,23,799,495,184,3044,1141,924,10430,891,266,CALERA,116,100
870,7,117,13,21,26,78,3,10,253,564,13,23,25,3,3,14,695,1464,1385,2307,56,3,209,195,31,1025,20,42,2612,233,179,CALLE LARGA,33,33
703,3,108,6,539,43,2,2,161,3,78,4,85,72,47,156,559,406,946,626,735,52,176,3,33,76,972,59,164,2482,1,160,CANELA,25,25
3360,12,125,30,96,35,4,9,48,99,799,33,108,89,4,432,155,1455,3342,3214,9136,137,200,326,56,184,1625,37,145,4432,427,295,CAÑETE,78,78
3928,16,236,11,59,51,1,4,72,17,665,15,55,51,168,42,184,1302,2150,2206,6779,99,3,242,114,176,839,16,109,3573,293,550,CARAHUE,63,63
1675,30,198,141,44,447,253,7,110,88,838,33,51,82,18,198,909,1287,642,2605,3587,132,6,629,53,704,2059,30,46,4879,325,7,CARTAGENA,57,57
2114,79,63,37,73,60,18,12,54,254,503,60,137,91,100,482,236,1975,2094,3486,4687,71,65,162,63,112,1384,66,531,5265,477,342,CASABLANCA,66,66
7261,26,121,41,69,75,5,8,140,15,1535,265,65,46,100,447,213,2773,4279,3336,7990,102,280,701,170,387,2263,895,84,8638,686,303,CASTRO,112,100
807,8,55,32,34,21,9,28,29,106,615,11,29,51,183,123,38,210,2262,1361,2323,58,6,110,92,420,812,17,37,2393,43,226,CATEMU,32,32
3491,455,93,48,133,46,4,10,49,86,738,57,144,87,4,575,637,1689,4372,5405,12064,172,243,378,57,673,914,73,197,4723,393,298,CAUQUENES,102,100
7747,157,144,92,126,183,109,14,117,915,829,73,125,248,147,1015,461,3864,4062,7433,11148,300,125,176,216,1779,4300,202,206,17342,1651,713,CERRILLOS,171,100
11353,280,310,98,174,372,35,923,307,910,1562,99,211,523,391,2158,567,5603,9100,9785,15701,436,1190,97,1148,2384,7461,1149,1795,29232,1743,580,CERRO NAVIA,277,100
1272,25,54,19,13,20,40,2,20,2,37,30,8,16,0,68,79,230,329,680,778,14,23,3,38,3,24,82,65,720,1,97,CHAITEN,15,15
1703,73,60,6,26,91,1,2,28,121,645,10,14,43,1,75,181,228,1158,782,1350,44,114,77,34,106,1247,111,55,2607,95,258,CHAÑARAL,30,30
676,5,19,84,22,133,1,1,15,137,38,93,19,34,4,1,15,250,1129,703,3645,30,88,311,208,102,276,10,32,1073,49,1,CHANCO,24,24
751,43,36,14,43,60,31,3,9,58,327,15,60,40,100,192,162,925,1368,1680,4264,226,54,231,46,227,1012,13,63,1971,120,110,CHEPICA,38,38
5526,262,315,262,147,215,170,96,429,122,2304,416,288,193,94,1562,646,6472,6529,5043,13231,166,15,204,213,555,4630,1692,224,15823,1741,684,CHIGUAYANTE,182,100
2486,2,97,9,11,7,0,2,21,3,31,7,10,5,0,107,44,281,129,595,717,10,52,50,52,1,143,91,9,1209,52,46,CHILE CHICO,18,18
1715,19,100,106,63,47,109,47,188,24,1062,65,116,75,168,641,54,1877,5050,3449,7326,83,10,222,214,720,1605,451,127,5546,485,227,CHIMBARONGO,82,82
1404,36,123,17,37,19,2,3,79,48,431,31,42,22,113,80,24,511,1706,1114,2980,29,2,311,23,302,701,12,48,1853,151,3,CHOLCHOL,32,32
2009,11,62,90,38,26,2,5,43,92,644,88,37,36,2,5,46,784,1727,873,2740,44,78,435,125,104,991,120,37,2680,215,63,CHONCHI,37,37
855,1,159,20,13,24,35,3,11,5,189,7,5,15,1,1,190,221,28,878,856,85,24,3,47,27,166,11,11,737,23,187,CISNES,15,15
883,3,15,7,21,14,1,69,31,3,49,7,12,50,2,67,49,287,281,684,1159,26,66,39,20,4,184,29,19,500,54,20,COCHAMO,14,14
836,52,71,4,5,40,1,1,48,30,3,8,5,12,1,43,149,68,3,504,544,13,54,85,25,82,182,5,7,578,1,0,COCHRANE,9,9
516,93,42,51,24,27,2,49,6,310,105,135,33,33,86,200,8,278,2191,1193,2586,48,2,5,252,329,639,44,47,2449,233,211,CODEGUA,32,32
432,76,15,8,20,16,18,2,4,60,165,8,21,17,2,204,9,585,437,991,1815,40,147,118,145,13,688,14,40,1538,37,3,COINCO,20,20
1034,10,225,22,129,697,4,7,141,10,856,22,85,45,81,59,288,993,2335,2221,5267,77,209,330,709,260,1175,22,86,2798,101,368,COLBUN,55,55
11649,331,493,86,283,118,9,16,301,1052,2819,76,298,156,35,872,258,14638,6962,13254,30414,439,10,506,208,807,5264,350,333,15176,2243,1355,COLINA,285,100
2643,34,61,25,92,24,3,20,95,64,572,22,98,63,3,299,109,764,2737,2492,6890,72,252,299,54,8,1319,25,110,2686,173,150,COLLIPULLI,59,59
837,195,91,33,59,32,6,6,108,23,274,158,76,48,31,534,300,972,2374,1701,4133,86,123,121,32,367,1182,324,80,3309,230,7,COLTAUCO,47,47
1750,18,84,16,82,57,1,17,96,20,298,102,36,76,14,295,100,500,982,1084,1497,342,178,200,66,374,1309,61,225,2343,49,66,COMBARBALA,33,33
29509,621,255,284,412,434,67,101,281,3119,4232,230,335,540,50,3119,579,16182,13131,21180,38606,646,68,64,836,4108,9483,356,718,44742,5651,2272,CONCEPCION,525,100
12130,2447,421,121,188,2178,55,92,349,510,1278,196,295,778,579,1740,1138,5979,4594,11382,16306,534,1184,349,3651,2195,7825,152,368,28909,1208,1702,CONCHALI,287,100
3589,111,77,1568,118,102,7,9,68,457,630,523,115,101,74,760,1742,6558,1728,4554,10343,174,7,120,89,889,2601,139,150,8905,1015,403,CONCON,124,100
3465,58,207,120,123,81,23,10,89,280,1634,59,151,112,54,674,146,1452,7074,3938,9107,230,110,19,350,822,2030,84,199,6616,543,676,CONSTITUCION,108,100
691,2,103,8,40,10,37,34,14,2,142,5,40,10,32,16,212,195,523,591,1963,10,16,65,29,69,201,5,67,876,9,33,CONTULMO,16,16
17295,260,551,120,209,262,289,29,166,170,6552,103,218,279,25,2386,902,4794,13523,14061,20956,478,27,1614,274,2179,12070,154,321,26726,2860,34,COPIAPO,335,100
23506,691,774,346,282,473,51,76,341,1304,8460,1979,263,255,55,2815,479,13126,15795,20378,28394,603,56,1819,1272,2169,16306,346,409,42656,4958,3279,COQUIMBO,497,100
9541,377,457,80,168,161,17,21,124,195,4599,81,231,221,675,1229,973,2894,12459,7474,19054,408,1413,1842,183,1961,7847,1898,353,18335,49,20,CORONEL,248,100
13196,230,89,123,75,447,4,14,210,359,1002,44,47,396,5,534,515,3125,2222,7693,8699,215,4,611,399,737,2766,191,96,9391,1090,393,COYHAIQUE,146,100
4447,20,131,25,49,47,86,12,66,11,447,26,73,38,27,270,123,1114,1687,2102,5017,54,152,190,87,158,903,137,97,2888,62,137,CUNCO,56,56
5374,7,32,95,273,95,165,29,104,12,42,93,197,31,33,271,319,1004,2215,2395,4286,35,25,72,214,37,177,38,622,2396,96,158,CURACAUTIN,56,56
529,1,13,5,16,9,61,0,28,2,16,70,81,4,13,2,14,168,705,217,731,12,1,86,82,52,11,75,11,625,2,108,CURACO DE VELEZ,10,10
3080,23,132,80,130,78,4,40,93,204,798,169,113,80,193,555,146,531,4903,2373,6813,100,351,289,197,703,1937,74,97,5021,4,207,CURANILAHUE,77,77
1851,5,17,16,237,16,2,5,40,3,37,41,32,43,2,216,64,391,1135,776,2125,14,130,4,75,5,77,362,40,1153,2,86,CURARREHUE,24,24
882,30,26,17,24,22,47,3,13,83,167,9,35,22,97,143,19,630,971,933,2580,53,3,181,98,236,460,12,60,1989,94,123,CUREPTO,26,26
10469,430,230,701,218,222,36,79,113,1182,3736,130,192,299,35,2620,348,9318,11307,14441,29300,448,42,417,1565,1708,6554,277,561,26302,3256,1649,CURICO,336,100
1856,7,58,9,26,20,18,5,32,7,710,45,31,18,49,6,148,624,1736,1314,3204,45,74,513,47,200,964,14,49,2170,156,6,DALCAHUE,37,37
2583,322,88,63,13,21,41,8,66,4,595,12,14,43,2,127,67,5,1746,514,840,29,138,94,284,3,391,328,383,2339,1,197,DIEGO DE ALMAGRO,29,29
1164,42,63,24,39,43,20,76,21,27,536,26,61,66,209,481,31,1362,2018,2246,4050,100,120,66,219,301,1563,36,85,4230,154,139,DOÑIHUE,51,51
10794,844,1848,122,184,274,1295,29,546,615,2876,120,169,255,1415,1455,3572,6231,7588,14166,22433,686,39,34,444,3898,9576,214,391,35115,1688,2971,EL BOSQUE,337,100
1787,23,80,35,42,166,80,7,14,65,284,27,29,48,4,566,53,1445,599,2651,2856,162,4,8,272,257,1101,41,46,4764,405,30,EL QUISCO,46,46
1087,61,208,178,21,235,6,5,106,47,408,28,27,84,5,256,28,1133,927,2288,2422,227,5,82,616,437,500,24,114,4554,423,211,EL TABO,42,42
268,2,7,43,20,3,0,1,2,2,106,5,26,17,14,1,68,219,709,558,1547,2,47,1,4,4,49,10,95,318,0,88,EMPEDRADO,11,11
776,48,27,5,199,227,2,4,39,71,183,5,33,25,2,38,41,34,966,647,2024,191,3,29,451,212,29,6,70,1113,204,218,ERCILLA,22,22
30165,769,244,194,450,520,56,47,383,1231,1101,101,257,447,740,1478,510,12617,4576,11817,16036,492,34,1262,752,777,6057,628,2806,31511,2512,997,ESTACION CENTRAL,335,100
827,5,23,25,30,15,2,17,15,88,278,16,53,27,2,149,28,830,1630,1234,3191,32,143,72,75,10,512,149,56,1593,123,158,FLORIDA,30,30
2772,31,62,32,126,34,34,12,69,60,621,32,167,48,7,316,174,1099,2738,2668,6030,46,328,288,86,581,842,79,269,3504,222,300,FREIRE,64,64
774,39,35,8,7,59,1,5,42,3,338,4,26,20,1,137,63,199,671,518,805,50,103,113,25,37,1058,5,8,1322,1,2,FREIRINA,18,18
1374,5,49,67,68,28,2,7,34,6,386,52,52,31,2,217,82,657,1087,1771,2961,61,201,166,97,55,606,65,81,2064,36,184,FRESIA,33,33
1998,56,54,31,53,30,105,4,50,286,463,32,60,35,112,367,92,884,2341,2965,4627,111,53,7,153,451,872,38,69,3346,68,353,FRUTILLAR,52,52
1628,3,11,12,14,7,0,1,8,26,40,7,36,8,12,0,29,114,78,642,456,8,25,140,16,60,88,10,23,452,24,0,FUTALEUFU,11,11
1427,37,84,34,40,28,3,38,31,9,263,88,41,73,45,92,185,500,1455,865,3072,68,3,71,25,95,776,14,63,1806,209,213,GALVARINO,30,30
2623,42,45,25,54,21,19,3,30,141,342,19,49,19,2,114,73,644,1616,2134,4178,39,32,232,88,113,307,143,75,1943,216,87,GORBEA,41,41
916,21,297,32,973,51,93,28,12,18,831,26,63,40,324,624,1318,2269,2908,3440,3660,108,12,158,136,28,2263,46,1089,6530,291,111,GRANEROS,73,73
1096,9,99,63,38,31,2,5,15,75,762,181,39,34,3,264,17,744,2396,1708,3307,47,327,449,194,243,1402,191,63,2741,49,5,HIJUELAS,44,44
1204,6,64,44,23,13,2,135,22,4,254,23,27,13,1,127,259,658,781,937,2105,35,203,104,32,6,478,305,41,1448,2,6,HUALAIHUE,25,25
760,29,14,10,25,23,1,4,43,31,206,18,37,72,1,136,27,810,522,1067,2559,109,48,43,35,15,814,13,54,2187,164,239,HUALAÑE,27,27
5937,127,415,121,236,446,16,74,242,97,2080,709,494,486,399,1137,609,4445,7834,7534,13931,799,29,600,285,2220,5931,288,501,16502,1748,776,HUALPEN,200,100
1839,19,181,22,53,56,4,5,20,101,1221,34,92,152,5,145,42,740,3133,2122,4655,126,228,617,164,690,1722,28,81,3431,284,5,HUALQUI,58,58
882,1,24,64,9,5,1,0,49,32,66,3,7,4,1,34,22,39,766,261,662,23,1,39,22,60,122,25,7,415,50,7,HUARA,12,12
1196,3,118,8,8,33,2,93,13,115,262,8,10,24,2,252,24,227,1380,905,463,191,2,3,164,3,655,10,576,1882,165,5,HUASCO,23,23
7227,140,166,333,165,206,138,15,92,1429,1503,141,189,269,19,762,562,8931,2554,6860,14719,380,816,742,180,1916,5375,1033,264,19259,1519,682,HUECHURABA,202,100
2675,343,187,484,58,132,14,12,82,98,1199,53,56,106,102,478,877,1183,2879,1619,4098,136,174,11,157,237,2680,350,99,6915,325,554,ILLAPEL,72,72
23633,592,137,88,498,251,31,20,252,1055,1258,68,121,170,28,1120,341,10137,3642,7543,12567,250,20,19,388,1295,2719,943,647,19146,2133,1442,INDEPENDENCIA,235,100
33505,99,851,253,339,420,271,40,442,331,5252,1130,430,574,59,1175,811,7912,14189,17294,28976,528,1273,1709,520,2254,10516,1116,402,30271,2285,1611,IQUIQUE,432,100
1557,9,6,153,9,233,127,28,34,9,11,118,10,34,2,281,56,639,11,470,653,91,3,74,411,99,550,20,8,1138,123,40,ISLA DE PASCUA,18,18
12984,196,108,138,203,361,200,27,279,190,776,434,229,874,520,669,437,7329,3633,7163,13490,545,573,632,294,2787,3055,2097,159,20233,1130,917,LA CISTERNA,210,100
1160,124,78,195,65,59,33,6,144,240,457,52,50,49,60,172,278,888,1669,2238,3792,46,257,417,110,486,1350,88,139,3873,194,6,LA CRUZ,48,48
258,10,49,5,18,13,3,1,6,71,66,6,12,13,1,83,89,318,188,548,952,17,25,75,9,114,287,10,18,935,63,1,LA ESTRELLA,11,11
32797,750,453,325,595,944,65,76,502,3139,4973,1936,909,1238,1058,3307,599,28627,12448,30040,51317,1812,74,1838,951,9246,14194,2085,1322,89758,9323,4570,LA FLORIDA,794,100
10686,104,378,287,389,579,35,43,361,681,1315,363,287,786,910,1033,883,5137,5317,9135,13999,1063,33,771,461,2435,8232,350,540,25950,1936,1924,LA GRANJA,249,100
422,28,52,160,79,12,1,1,7,2,109,4,7,20,1,210,300,182,861,204,550,13,1,2,8,58,302,95,31,1033,92,2,LA HIGUERA,13,13
2534,53,195,90,69,88,6,87,104,261,919,46,97,117,47,537,78,1814,2918,3573,5899,174,307,117,425,451,2516,72,111,8237,437,433,LA LIGUA,86,86
6570,2210,2065,6052,307,615,30,46,1086,1385,5109,119,270,358,30,705,5069,5379,9336,6078,21154,468,1455,2916,4787,127,13612,173,345,33418,2468,1542,LA PINTANA,347,100
12595,436,24,224,190,218,16,12,199,2944,249,227,175,192,349,696,464,16146,2032,6569,15858,299,16,134,371,2169,1162,2357,257,19651,2070,919,LA REINA,229,100
25804,266,671,262,429,578,646,92,414,1924,7422,211,241,312,1253,2388,719,13777,13070,23737,30522,832,63,2721,777,5069,15412,314,452,46289,3318,1938,LA SERENA,518,100
2762,11,179,46,50,36,4,6,91,10,819,25,49,35,4,425,76,1184,3493,1835,4806,49,378,5,85,92,1297,400,68,3155,4,157,LAJA,58,58
6920,99,240,63,147,135,28,40,132,976,1969,414,138,127,24,1177,214,5054,9184,8815,16636,289,26,254,191,2008,3991,501,295,16156,2043,901,LAMPA,204,100
1225,224,38,18,47,39,116,151,172,26,690,28,90,58,89,158,47,1303,2374,2784,5760,121,5,252,414,474,1019,47,138,4828,287,261,LAS CABRAS,60,60
58150,1085,32,660,865,328,581,23,495,5689,822,4038,609,305,1165,75,1095,70728,1249,21954,67276,384,44,24,693,2665,2783,4576,677,27609,3160,3614,LAS CONDES,720,100
4447,18,169,35,121,58,111,9,72,20,964,50,198,63,107,568,92,2173,4367,4202,9901,93,7,223,85,407,1535,58,351,5261,525,465,LAUTARO,98,98
2420,8,86,177,73,37,4,156,179,9,615,361,77,35,4,217,159,699,3350,1550,5773,60,87,367,135,460,661,276,81,3548,403,178,LEBU,59,59
571,69,13,46,33,19,1,2,49,13,25,98,26,16,1,163,74,539,806,484,1397,130,102,3,44,24,351,22,392,1342,29,71,LICANTEN,19,19
4019,514,100,112,108,126,8,18,94,590,1275,270,290,119,8,550,540,2472,4417,4829,7572,134,356,880,357,589,1896,1176,250,9411,734,345,LIMACHE,114,100
8415,297,171,87,199,131,295,24,149,571,3069,107,235,272,154,408,912,3268,8189,10575,21004,395,630,2306,187,2813,4663,140,335,14965,611,22,LINARES,225,100
457,7,16,18,20,23,11,2,8,8,121,117,31,33,2,223,13,895,488,644,2023,45,101,91,108,44,451,166,48,1908,82,34,LITUECHE,22,22
1726,23,107,40,66,62,13,17,81,13,744,34,110,112,178,367,123,793,2568,2262,3352,160,10,27,113,608,1755,45,71,5459,345,379,LLAILLAY,58,58
1657,53,42,19,33,26,16,4,75,193,529,27,45,137,3,132,45,555,1964,2422,3740,71,3,328,28,443,977,31,60,2844,331,134,LLANQUIHUE,45,45
12948,195,34,356,175,56,2,149,137,298,412,1495,148,73,4,828,692,23159,1080,6168,31113,103,3,10,138,125,2471,804,145,7345,1200,330,LO BARNECHEA,235,100
9774,111,236,75,187,371,434,33,289,533,1592,382,269,299,28,1423,640,2120,5700,6871,11371,509,459,1217,418,3122,7053,196,253,23921,1521,541,LO ESPEJO,212,100
8394,981,571,159,451,258,24,203,138,270,1087,252,161,401,301,1869,1843,4742,5835,7229,9674,235,886,550,813,1925,3964,1116,2436,23149,1275,114,LO PRADO,208,100
476,10,18,11,26,28,9,47,55,19,206,10,35,18,40,4,25,626,827,756,2013,69,5,81,65,174,231,9,50,1165,55,148,LOLOL,19,19
3901,109,81,40,85,84,5,7,161,17,464,118,82,49,12,518,137,1316,2689,2638,5383,72,268,35,117,69,1150,447,106,3719,261,222,LONCOCHE,65,65
2236,22,123,18,68,90,3,34,170,229,712,23,111,112,3,184,68,847,4302,4030,9524,91,124,259,129,487,878,26,110,3925,372,556,LONGAVI,80,80
3170,4,172,18,38,19,62,2,27,22,273,13,27,13,35,104,89,327,860,1428,2896,27,60,234,104,112,442,21,50,1384,1,3,LONQUIMAY,33,33
1778,21,109,23,63,30,3,17,37,14,573,26,119,38,3,378,53,458,3270,2002,5328,36,214,269,81,352,960,27,129,2868,144,9,LOS ALAMOS,51,51
6512,48,145,439,93,156,17,19,106,52,1280,309,702,197,19,1350,560,4287,5970,5334,8677,183,19,57,126,1224,3976,589,177,12369,1459,339,LOS ANDES,145,100
17185,304,293,191,350,186,205,361,236,1414,6318,242,324,247,1211,422,671,8056,25721,24016,48295,486,32,4412,326,4277,7103,286,637,21486,1983,54,LOS ANGELES,461,100
1579,16,61,41,133,30,3,10,28,317,322,49,114,29,3,183,193,621,1903,3262,4477,48,111,349,32,135,489,54,137,1922,162,168,LOS MUERMOS,45,45
744,2,30,20,59,18,1,3,23,3,36,32,50,41,1,120,41,227,1062,596,2629,30,50,83,62,111,149,13,80,791,75,2,LOS SAUCES,19,19
2269,17,123,223,58,86,10,8,59,17,395,45,53,119,6,556,108,1389,1569,1791,2970,100,50,149,335,157,1622,58,76,4877,385,17,LOS VILOS,52,52
5821,17,249,42,113,146,222,13,258,305,1539,35,206,409,167,479,279,1241,5599,3449,8146,137,318,630,194,619,3435,668,91,8723,216,606,LOTA,115,100
1176,1,70,5,20,8,1,4,11,1,163,2,8,5,32,122,35,337,875,708,3288,18,40,2,36,1,396,7,40,1178,62,91,LUMACO,24,24
3283,57,208,104,101,101,8,42,75,451,1263,67,161,135,59,777,384,4167,3162,4779,9442,179,8,183,75,1026,2826,366,168,9426,1125,216,MACHALI,114,100
11200,653,75,112,212,624,19,910,353,1316,1095,322,133,570,88,1357,1628,10208,2179,10066,15004,411,414,532,342,3766,5238,696,607,28702,2996,26,MACUL,261,100
34918,231,820,385,433,524,83,456,439,4767,7190,356,550,627,1697,6492,1255,27059,17691,45647,66179,2681,102,1275,778,13317,22509,821,1305,123541,11613,4084,MAIPU,1017,100
273,225,82,22,73,22,8,203,19,22,443,29,120,44,22,134,474,703,1724,1283,3189,20,171,12,180,227,360,304,63,2213,66,140,MALLOA,33,33
593,23,12,11,22,13,1,5,8,54,49,11,35,158,1,227,15,607,651,977,1875,69,116,132,28,350,537,15,55,1484,67,6,MARCHIGUE,21,21
1586,91,98,2,5,7,65,1,59,53,160,21,7,10,21,55,75,1,496,262,454,11,0,83,50,1,675,3,6,666,0,6,MARIA ELENA,14,14
1410,226,89,287,61,40,7,7,453,387,904,64,75,58,8,224,207,686,5202,3180,8359,102,8,761,42,1242,1396,72,150,5496,675,7,MAULE,82,82
2222,7,104,15,31,20,26,5,23,9,231,15,33,18,104,372,71,1015,1690,1931,3736,51,40,11,122,11,476,26,65,2106,133,311,MAULLIN,41,41
1072,137,165,6,362,26,29,4,25,161,492,8,20,43,134,41,237,59,1391,903,786,253,53,95,344,136,1220,11,125,1970,2,198,MEJILLONES,27,27
1871,42,255,8,21,14,17,2,16,2,221,5,12,7,15,26,52,210,670,833,1937,19,55,213,204,143,69,10,34,1030,23,2,MELIPEUCO,22,22
2464,56,909,89,158,145,18,28,30,266,1503,43,81,79,7,679,922,2225,2652,4819,9764,284,591,448,50,601,3303,83,221,8687,445,480,MOLINA,110,100
3502,10,305,33,66,53,5,9,106,133,1669,24,33,39,6,459,146,1127,3842,2657,4279,81,6,594,129,14,3032,34,62,4584,558,39,MONTE PATRIA,72,72
1210,118,138,23,33,42,4,5,15,15,814,28,57,47,8,638,300,936,2153,2681,4892,141,158,233,20,782,1959,43,98,4895,508,7,MOSTAZAL,60,60
2992,13,129,32,213,29,4,8,47,17,1218,32,118,34,115,183,77,1229,3967,2799,6347,51,143,741,57,18,1648,35,389,3617,202,26,MULCHEN,69,69
2500,112,110,20,40,26,25,5,33,202,1166,23,68,35,4,189,232,321,4033,2497,6167,66,236,528,44,682,1322,30,91,3279,208,5,NACIMIENTO,64,64
756,32,62,109,96,43,4,49,21,17,195,249,123,62,2,321,306,1269,1929,1398,3578,132,52,103,19,81,1071,299,256,3000,301,79,NANCAGUA,41,41
6456,31,83,48,73,54,181,13,138,67,595,115,41,28,78,340,172,1110,1161,1713,3902,65,355,9,186,265,835,600,80,4792,72,681,NATALES,65,65
331,8,10,125,19,118,2,54,4,8,158,45,13,71,27,215,23,765,502,870,1595,143,18,6,282,298,304,13,20,1949,174,117,NAVIDAD,22,22
304,26,246,29,162,93,5,305,68,149,216,26,97,17,2,7,703,281,1546,912,2621,11,66,6,133,193,368,64,65,957,80,5,NEGRETE,25,25
1699,9,74,82,30,43,3,56,42,149,1056,25,35,71,5,228,189,735,2311,2037,2869,107,3,226,48,351,2163,41,53,4690,438,258,NOGALES,53,53
4113,75,98,27,104,79,57,7,116,21,749,51,132,69,164,409,128,1210,3982,3113,8053,110,129,82,124,905,1201,56,157,5335,500,440,NUEVA IMPERIAL,83,83
30819,2311,68,174,262,463,67,40,232,5712,364,1153,231,421,68,2701,336,33142,3798,16199,29825,547,74,39,2232,7764,2087,3313,450,63940,6456,1528,ÑUÑOA,552,100
548,120,99,37,32,21,24,5,10,103,547,33,49,29,10,133,268,873,1404,1422,2906,98,252,6,9,179,936,173,155,2387,50,347,OLIVAR,35,35
1402,86,66,70,36,51,75,9,76,32,499,67,54,62,95,430,156,1527,1545,2217,3265,69,81,267,127,99,1131,488,42,3444,164,80,OLMUE,47,47
18719,101,543,193,356,333,27,41,315,964,3832,196,314,308,965,2237,574,9167,12887,19316,28717,665,33,53,481,2145,8263,284,446,28740,2597,2425,OSORNO,378,100
11780,42,318,366,96,154,26,24,136,402,4118,1336,122,182,26,1193,172,5177,15582,7092,15205,213,27,25,456,566,5018,1706,912,19231,1951,2378,OVALLE,248,100
6342,44,189,152,165,95,20,44,132,367,1702,891,157,104,18,552,306,4274,8489,4703,16785,182,24,1559,167,144,3475,1440,333,10039,1539,21,PADRE LAS CASAS,172,100
644,70,11,4,7,9,1,52,8,31,90,5,162,7,1,24,12,359,643,606,694,10,1,48,81,21,317,7,23,1090,125,51,PAIHUANO,14,14
469,50,28,26,30,56,2,5,6,148,160,74,40,38,2,147,6,442,1592,1360,2979,55,66,168,123,289,452,49,59,2020,191,66,PALMILLA,29,29
